21 October 2022 03:45:10 PM
             2     10000   7.85908e-17             1   1.14643e-06
             4     10000   1.20984e-16             1   1.56508e-06
             8     10000    6.8208e-17             1   2.35435e-06
            16     10000   1.43867e-16             1   3.33563e-06
            32      1000   1.33121e-16             1   4.78336e-06
            64      1000   1.77654e-16             1   6.93007e-06
           128      1000   1.92904e-16             1   9.53931e-06
           256      1000   2.09232e-16             1   1.48507e-05
           512       100   1.92749e-16             1   2.38707e-05
          1024       100   2.31209e-16             1   4.52197e-05
          2048       100   2.44501e-16             1   8.60414e-05
          4096       100   2.47659e-16             1   0.000200326
          8192        10   2.57125e-16             1   0.000370097
         16384        10    2.7363e-16             1   0.000761893
         32768        10   2.92413e-16             1    0.00171455
         65536        10   2.83355e-16             1    0.00362354
        131072         1   3.14231e-16             1    0.00665558
        262144         1     3.216e-16             1     0.0205175
        524288         1   3.28266e-16             1     0.0353241
       1048576         1   3.28448e-16             1      0.077049
       2097152         1   3.50955e-16             1      0.132493
       4194304         1   3.56079e-16             1      0.279282
       8388608         1   3.70965e-16             1      0.574318
      16777216         1   3.65182e-16             1       1.24566
      33554432         1   3.81648e-16             1       2.84483

FFT_OPENMP:
  Normal end of execution.

21 October 2022 03:45:44 PM
